AP;PDT;1212;ANT�NIO ROBERTO RODRIGUES G�ES DA SILVA;ROBERTO G�ES;Deputado Federal;Apto;Deferido
ES;PDT;1212;ANTONIO SERGIO ALVES VIDIGAL;SERGIO VIDIGAL;Deputado Federal;Apto;Deferido
PR;PT;1345;ANTONIO WANDSCHEER;TONINHO WANDSCHEER;Deputado Federal;Apto;Deferido
SP;PT;1322;ARLINDO CHIGNALIA JUNIOR;ARLINDO CHINAGLIA;Deputado Federal;Apto;Deferido
SP;PPS;2345;ARNALDO CALIL PEREIRA JARDIM;ARNALDO JARDIM;Deputado Federal;Apto;Deferido
SP;PTB;1452;ARNALDO FARIA DE S�;ARNALDO FARIA DE S�;Deputado Federal;Apto;Deferido
PA;PPS;2323;ARNALDO JORDY FIGUEIREDO;JORDY;Deputado Federal;Apto;Deferido
RJ;PSD;5593;AROLDE DE OLIVEIRA;AROLDE DE OLIVEIRA;Deputado Federal;Apto;Deferido
AL;PP;1111;ARTHUR CESAR PEREIRA DE LIRA;ARTHUR LIRA;Deputado Federal;Apto;Deferido com recurso
BA;SD;7712;ARTHUR DE OLIVEIRA MAIA DA SILVA;ARTHUR MAIA;Deputado Federal;Apto;Deferido
AM;PSDB;4545;ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO;ARTUR BISNETO;Deputado Federal;Apto;Deferido
PR;PT;1314;ASSIS MIGUEL DO COUTO;ASSIS DO COUTO;Deputado Federal;Apto;Deferido
PI;PSB;4040;ATILA FREITAS LIRA;ATILA LIRA;Deputado Federal;Apto;Deferido
AM;PSD;5525;ATILA SIDNEY LINS DE ALBUQUERQUE;ATILA LINS;Deputado Federal;Apto;Deferido
DF;SD;7777;AUGUSTO SILVEIRA DE CARVALHO;AUGUSTO CARVALHO;Deputado Federal;Apto;Deferido
RJ;SD;7733;AUREO LIDIO MOREIRA RIBEIRO;AUREO;Deputado Federal;Apto;Deferido
RJ;PT;1377;BENEDITA SOUZA DA SILVA SAMPAIO;BENEDITA DA SILVA;Deputado Federal;Apto;Deferido
SP;PRB;1078;BENEDITO ROBERTO ALVES FERREIRA;ROBERTO ALVES;Deputado Federal;Apto;Deferido
RJ;PSOL;5020;BENEVENUTO DACIOLO FONSECA DOS SANTOS;CABO DACIOLO;Deputado Federal;Apto;Deferido
BA;PTB;1400;BENITO DA GAMA SANTOS;BENITO GAMA;Deputado Federal;Apto;Deferido
PB;SD;7777;BENJAMIN GOMES MARANH�O NETO;BENJAMIN MARANH�O;Deputado Federal;Apto;Deferido
MG;PSDB;4566;BONIF�CIO JOS� TAMM DE ANDRADA;BONIF�CIO ANDRADA;Deputado Federal;Apto;Deferido
SP;PSDB;4585;BRUNA DIAS FURLAN;BRUNA FURLAN;Deputado Federal;Apto;Deferido
MG;PTC;3645;BRUNIELE FERREIRA DA SILVA;BRUNNY;Deputado Federal;Apto;Deferido
PE;PSDB;4511;BRUNO CAVALCANTI DE ARA�JO;BRUNO ARA�JO;Deputado Federal;Apto;Deferido
SP;PSDB;4567;BRUNO COVAS LOPES;BRUNO COVAS;Deputado Federal;Apto;Deferido
MG;PSDB;4520;CAIO NARCIO RODRIGUES DA SILVEIRA;CAIO NARCIO;Deputado Federal;Apto;Deferido
RN;PP;1111;CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO;BETINHO ROSADO SEGUNDO;Deputado Federal;Apto;Deferido
SP;PT;1370;CARLOS ALBERTO ROLIM ZARATTINI;ZARATTINI;Deputado Federal;Apto;Deferido
RR;PHS;3131;CARLOS AUGUSTO ANDRADE SILVA;CARLOS ANDRADE;Deputado Federal;Apto;Deferido com recurso
AC;PSB;4040;CARLOS CESAR CORREIA DE MESSIAS;C�SAR MESSIAS;Deputado Federal;Apto;Deferido
MG;DEM;2555;CARLOS DO CARMO ANDRADE MELLES;CARLOS MELLES;Deputado Federal;Apto;Deferido
MS;PMDB;1515;CARLOS EDUARDO XAVIER MARUN;MARUN;Deputado Federal;Apto;Deferido
BA;PP;1115;CARLOS FELIPE VAZQUEZ DE SOUZA LE�O;CAC� LE�O;Deputado Federal;Apto;Deferido
MT;PMDB;1515;CARLOS GOMES BEZERRA;CARLOS BEZERRA;Deputado Federal;Apto;Deferido
TO;PMDB;1515;CARLOS HENRIQUE AMORIM;CARLOS GAGUIM;Deputado Federal;Apto;Deferido com recurso
SP;PSDB;4500;CARLOS HENRIQUE FOCESI SAMPAIO;CARLOS SAMPAIO;Deputado Federal;Apto;Deferido
ES;SD;7777;CARLOS HUMBERTO MANNATO;MANATO;Deputado Federal;Apto;Deferido
MA;PV;4356;CARLOS VICTOR GUTERRES MENDES;VICTOR MENDES;Deputado Federal;Apto;Deferido
SC;PPS;2323;CARMEN EM�LIA BONF� ZANOTTO;CARMEN ZANOTTO;Deputado Federal;Apto;Deferido
