PR;PMDB;15190;ANTONIO ANNIBELLI NETO;ANIBELLI NETO;Deputado Estadual;Apto;Deferido
SP;PP;11777;ANTONIO ASSUN��O DE OLIM;DELEGADO OLIM;Deputado Estadual;Apto;Deferido
AP;PMDB;15123;ANTONIO AUGUSTO DE AGUIAR;AUGUSTO AGUIAR;Deputado Estadual;Apto;Deferido
MG;PSDB;45010;ANT�NIO CARLOS ARANTES;ANT�NIO CARLOS ARANTES;Deputado Estadual;Apto;Deferido
GO;PDT;12012;ANTONIO CARLOS CAETANO DE MORAIS;DR. ANTONIO;Deputado Estadual;Apto;Deferido
SP;PTB;14140;ANTONIO CARLOS DE CAMPOS MACHADO;CAMPOS MACHADO;Deputado Estadual;Apto;Deferido
SP;DEM;25000;ANTONIO CEZAR CORREIA FREIRE;PASTOR CEZINHA;Deputado Estadual;Apto;Deferido
SP;PSDB;45122;ANTONIO DE SOUSA RAMALHO;RAMALHO DA CONSTRUCAO;Deputado Estadual;Apto;Deferido
MG;PSB;40696;ANTONIO DOS REIS GON�ALVES LERIN;LERIN;Deputado Estadual;Apto;Deferido
SE;PSC;20123;ANTONIO DOS SANTOS;PR ANTONIO;Deputado Estadual;Apto;Deferido
RR;PEN;51111;ANTONIO EDUARDO FILHO;ODILON;Deputado Estadual;Apto;Deferido
TO;PRTB;28777;ANT�NIO EVANGELISTA PEREIRA JUNIOR;JUNIOR EVANGELISTA;Deputado Estadual;Apto;Deferido
PR;PDT;12012;ANTONIO FERNANDO SCANAVACCA;FERNANDO SCANAVACA;Deputado Estadual;Apto;Deferido
PE;PMDB;15232;ANTONIO GERALDO RODRIGUES DA SILVA;TONY GEL;Deputado Estadual;Apto;Deferido
PA;PPL;54444;ANTONIO GOMES DE LIMA;ANTONIO TONHEIRO;Deputado Estadual;Apto;Deferido
BA;PP;11011;ANTONIO HENRIQUE DE SOUSA MOREIRA JUNIOR;ANTONIO HENRIQUE JUNIOR;Deputado Estadual;Apto;Deferido
MG;PPS;23123;ANTONIO JORGE DE SOUZA MARQUES;ANTONIO JORGE;Deputado Estadual;Apto;Deferido
AC;PTN;19019;ANTONIO JOSENILDO INACIO DA SILVA;JOSA DA FARM�CIA;Deputado Estadual;Apto;Deferido
SC;PMDB;15700;ANT�NIO MAURO RODRIGUES DE AGUIAR;ANTONIO AGUIAR;Deputado Estadual;Apto;Deferido
RR;PRB;10789;ANTONIO MECIAS PEREIRA DE JESUS;MECIAS DE JESUS;Deputado Estadual;Apto;Deferido
AP;PTB;14000;ANTONIO PAULO DE OLIVEIRA FURLAN;DR. FURLAN;Deputado Estadual;Apto;Deferido
AC;DEM;25456;ANTONIO PEDRO MENDON�A;ANTONIO PEDRO;Deputado Estadual;Apto;Deferido
MA;DEM;25333;ANTONIO PEREIRA FILHO;DR. ANTONIO PEREIRA;Deputado Estadual;Apto;Deferido
CE;PROS;90000;ANTONIO PINHEIRO GRANJA;ANTONIO GRANJA;Deputado Estadual;Apto;Deferido
TO;PSD;55111;ANT�NIO POINCARE ANDRADE FILHO;TOINHO ANDRADE;Deputado Estadual;Apto;Deferido
PB;PT;13333;ANTONIO RIBEIRO;FREI ANAST�CIO;Deputado Estadual;Apto;Deferido
AL;PRTB;28000;ANTONIO RIBEIRO DE ALBUQUERQUE;ANTONIO ALBUQUERQUE;Deputado Estadual;Apto;Deferido
SP;PP;11111;ANTONIO SALIM CURIATI;CURIATI;Deputado Estadual;Apto;Deferido
SC;PSDB;45145;ANTONIO SERAFIM VENZON;SERAFIM VENZON;Deputado Estadual;Apto;Deferido
PR;PT;13131;ANTONIO TADEU VENERI;TADEU VENERI;Deputado Estadual;Apto;Deferido
RS;PT;13713;ANTONIO VALDECI OLIVEIRA DE OLIVEIRA;VALDECI OLIVEIRA;Deputado Estadual;Apto;Deferido
PE;PP;11000;ANTONIO VALDI DE FRAN�A SALES;DR. VALDI;Deputado Estadual;Apto;Deferido
RS;PPS;23200;ANY MACHADO ORTIZ;ANY ORTIZ;Deputado Estadual;Apto;Deferido
MG;PTB;14111;ARLEN DE PAULO SANTIAGO FILHO;ARLEN SANTIAGO;Deputado Estadual;Apto;Deferido
MG;PTN;19456;ARLETE GON�ALVES SANTOS MAGALH�ES;ARLETE MAGALHAES;Deputado Estadual;Apto;Deferido
PB;PSC;20147;ARNALDO MONTEIRO COSTA;ARNALDO MONTEIRO;Deputado Estadual;Apto;Deferido
MG;PR;22999;ARNALDO SILVA JUNIOR;ARNALDO;Deputado Estadual;Apto;Deferido
PR;PMDB;15015;ARTAG�O DE MATTOS LE�O JUNIOR;ARTAGAO JUNIOR;Deputado Estadual;Apto;Deferido
PB;PEN;51888;ATAIDES MENDES PEDROSA;BRANCO MENDES;Deputado Estadual;Apto;Deferido
SP;PC do B;65000;ATILA CESAR MONTEIRO JACOMUSSI;ATILA;Deputado Estadual;Apto;Deferido
CE;PMDB;15610;AUDIC CAVALCANTE MOTA DIAS;AUDIC MOTA;Deputado Estadual;Apto;Deferido
CE;PC do B;65700;AUGUSTA BRITO DE PAULA;AUGUSTA BRITO;Deputado Estadual;Apto;Deferido
SE;DEM;25555;AUGUSTO BEZERRA DE ASSIS FILHO;AUGUSTO BEZERRA;Deputado Estadual;Apto;Deferido
PE;PTB;14123;AUGUSTO CESAR ELIHIMAS DE CARVALHO;AUGUSTO C�SAR;Deputado Estadual;Apto;Deferido
BA;PSDB;45670;AUGUSTO NARCISO CASTRO;AUGUSTO CASTRO;Deputado Estadual;Apto;Deferido
SP;PT;13600;AURIEL BRITO LEAL;PROF AURIEL;Deputado Estadual;Apto;Deferido
AM;PMDB;15666;BELARMINO LINS DE ALBUQUERQUE;BELARMINO LINS;Deputado Estadual;Apto;Deferido
